description	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Staff of Kings + Amulet of the Viper -> Horadric Staff	1				0	28				2	msf	vip						hst																																																																																							0
Khalim's Flail + Khalim's Heart + Khalim's Eye + Khalim's Brain -> Khalim's Will	1				0	28				4	qf1	qhr	qey	qbr				qf2																																																																																							0
Wirt's Leg + Tome of Town Portal -> Portal to The Secret Cow Level	1				0	28				2	leg	tbk						Cow Portal																																																																																							0
3 Healing Potions (Any) + 3 Mana Potions (Any) + 1 Standard Gem (Any) -> Full Rejuvenation Potion	1				0					7	"hpot,qty=3"	"mpot,qty=3"	gem2					rvl																																																																																							0
3 Healing Potions (Any) + 3 Mana Potions (Any)  + 1 Chipped Gem (Any) -> Rejuvenation Potion	1				0					7	"hpot,qty=3"	"mpot,qty=3"	gem0					rvs																																																																																							0
3 Rejuvenation Potions -> Full Rejuvenation Potion	1				0					3	"rvs,qty=3"							rvl																																																																																							0
6 Perfect Gems (Mini Cube) + 1 Magic Amulet -> Prismatic Amulet	1				100	15	363	6		2	y01	"amu,mag"						useitem				GB-Total			-6	-6																					"amu,mag,pre=331"	50																																																									0
1 Magic Ring + 1 Perfect Ruby + 1 Exploding Potion -> Garnet Ring	1				0	15	363	1		3	y01	"rin,mag"	gpr	opm				"rin,mag,pre=372"	30			GB-Total			-1	-1																																																																															0
1 Magic Ring + 1 Perfect Sapphire + 1 Thawing Potion -> Cobalt Ring	1				0	15	363	1		3	y01	"rin,mag"	gpb	wms				"rin,mag,pre=353"	30			GB-Total			-1	-1																																																																															0
1 Magic Ring + 1 Perfect Topaz + 1 Rejuvenation Potion -> Coral Ring	1				0	15	363	1		3	y01	"rin,mag"	gpy	rvs				"rin,mag,pre=392"	30			GB-Total			-1	-1																																																																															0
1 Magic Ring + 1 Standard Emerald + 1 Antidote Potion -> Jade Ring	1				0	15	363	1		3	y01	"rin,mag"	gpg	yps				"rin,mag,pre=412"	30			GB-Total			-1	-1																																																																															0
1 Axe (Any) + 1 Dagger (Any) -> Throwing Axe	1				0	15	363	1		2	y01	axe	knif					"tax,nor"				GB-Total			-1	-1																																																																															0
1 Spear (Any) + 1 Arrows -> Javelins	1				0	15	363	1		2	y01	spea	aqv					"jav,nor"				GB-Total			-1	-1																																																																															0
3 Magic Rings -> Magic Amulet	1				0					3	"rin,mag,qty=3"							"amu,mag"		75																																																																																					0
3 Magic Amulets -> Magic Ring	1				0					3	"amu,mag,qty=3"							"rin,mag"		75																																																																																					0
